#Time (s),Channel 1 (V),Channel 2 (V)
0.14725,2.503103719470808,2.542224338787582
0.1475,2.503103719470808,2.541889801096528
0.14775,2.503103719470808,2.541889801096528
0.148,2.503103719470808,2.541555263405473
0.14825,2.503437672328028,2.541220725714419
0.1485,2.503437672328028,2.541220725714419
0.14875,2.503437672328028,2.540886188023364
0.149,2.503437672328028,2.54055165033231
0.14925,2.503437672328028,2.540217112641255
0.1495,2.503437672328028,2.5398825749502
0.14975,2.503437672328028,2.539548037259146
0.15,2.503771625185248,2.539548037259146
0.15025,2.503437672328028,2.539213499568092
0.1505,2.503771625185248,2.538878961877037
0.15075,2.503771625185248,2.538878961877037
0.151,2.503771625185248,2.538544424185982
0.15125,2.503771625185248,2.538209886494927
0.1515,2.504105578042468,2.537875348803873
0.15175,2.504105578042468,2.537875348803873
0.152,2.504105578042468,2.537540811112818
0.15225,2.504105578042468,2.537206273421764
0.1525,2.504105578042468,2.536871735730709
0.15275,2.504439530899687,2.536871735730709
0.153,2.504439530899687,2.536537198039654
0.15325,2.504439530899687,2.5362026603486
0.1535,2.504439530899687,2.535868122657545
0.15375,2.504439530899687,2.535533584966491
0.154,2.504439530899687,2.535533584966491
0.15425,2.504439530899687,2.535199047275436
0.1545,2.504773483756908,2.535199047275436
0.15475,2.504773483756908,2.534864509584382
0.155,2.504773483756908,2.534864509584382
0.15525,2.505107436614127,2.534529971893327
0.1555,2.505107436614127,2.534529971893327
0.15575,2.505107436614127,2.534195434202272
0.156,2.505441389471347,2.533860896511218
0.15625,2.505441389471347,2.533860896511218
0.1565,2.505775342328567,2.533860896511218
0.15675,2.506109295185787,2.533860896511218
0.157,2.506109295185787,2.533526358820164
0.15725,2.506109295185787,2.533191821129109
0.1575,2.506109295185787,2.533191821129109
0.15775,2.506443248043007,2.533191821129109
0.158,2.506777200900227,2.533191821129109
0.15825,2.507445106614667,2.533191821129109
0.1585,2.507779059471887,2.533526358820164
0.15875,2.508113012329107,2.533526358820164
0.159,2.508446965186327,2.533526358820164
0.15925,2.508446965186327,2.533526358820164
0.1595,2.508780918043547,2.533526358820164
0.15975,2.508780918043547,2.533191821129109
0.16,2.509114870900766,2.533191821129109
0.16025,2.508780918043547,2.532857283438054
0.1605,2.508780918043547,2.532522745746999
0.16075,2.509114870900766,2.532522745746999
0.161,2.509448823757987,2.532522745746999
0.16125,2.509448823757987,2.532188208055945
0.1615,2.509448823757987,2.532188208055945
0.16175,2.509448823757987,2.531853670364891
0.162,2.509782776615206,2.531853670364891
0.16225,2.509782776615206,2.531853670364891
0.1625,2.510116729472426,2.531519132673836
0.16275,2.510450682329646,2.531853670364891
0.163,2.510450682329646,2.531853670364891
0.16325,2.510450682329646,2.531519132673836
0.1635,2.510784635186866,2.531184594982781
0.16375,2.510784635186866,2.531184594982781
0.164,2.510784635186866,2.531184594982781
0.16425,2.511118588044086,2.531184594982781
0.1645,2.511452540901306,2.531184594982781
0.16475,2.511452540901306,2.531184594982781
0.165,2.511786493758526,2.531184594982781
0.16525,2.512120446615746,2.531184594982781
0.1655,2.512454399472966,2.531519132673836
0.16575,2.512788352330186,2.531519132673836
0.166,2.513122305187406,2.531853670364891
0.16625,2.513122305187406,2.531519132673836
0.1665,2.513122305187406,2.531519132673836
0.16675,2.513456258044626,2.531519132673836
0.167,2.513790210901846,2.531519132673836
0.16725,2.513790210901846,2.531519132673836
0.1675,2.513790210901846,2.531519132673836
0.16775,2.513790210901846,2.531519132673836
0.168,2.514124163759066,2.531184594982781
0.16825,2.514458116616285,2.531519132673836
0.1685,2.514458116616285,2.531184594982781
0.16875,2.514458116616285,2.531184594982781
0.169,2.514458116616285,2.531184594982781
0.16925,2.514792069473506,2.531184594982781
0.1695,2.514792069473506,2.531184594982781
0.16975,2.514792069473506,2.530850057291727
0.17,2.514792069473506,2.530850057291727
0.17025,2.514792069473506,2.530850057291727
0.1705,2.515126022330725,2.530850057291727
0.17075,2.515459975187945,2.530850057291727
0.171,2.515126022330725,2.530515519600672
0.17125,2.515126022330725,2.530515519600672
0.1715,2.515459975187945,2.530515519600672
0.17175,2.515459975187945,2.530515519600672
0.172,2.515459975187945,2.530515519600672
0.17225,2.515793928045165,2.530515519600672
0.1725,2.515793928045165,2.530180981909618
0.17275,2.515793928045165,2.530180981909618
0.173,2.516127880902385,2.530180981909618
0.17325,2.516127880902385,2.530180981909618
0.1735,2.516127880902385,2.530180981909618
0.17375,2.516127880902385,2.530180981909618
0.174,2.516461833759605,2.530180981909618
0.17425,2.516461833759605,2.529846444218563
0.1745,2.516461833759605,2.529846444218563
0.17475,2.516461833759605,2.529846444218563
0.175,2.516461833759605,2.529846444218563
0.17525,2.516795786616825,2.529846444218563
0.1755,2.517129739474045,2.529846444218563
0.17575,2.517463692331265,2.530180981909618
0.176,2.517463692331265,2.530180981909618
0.17625,2.517797645188485,2.530180981909618
0.1765,2.517797645188485,2.530180981909618
0.17675,2.518131598045705,2.530515519600672
0.177,2.518131598045705,2.530180981909618
0.17725,2.518131598045705,2.529846444218563
0.1775,2.518131598045705,2.529846444218563
0.17775,2.517797645188485,2.529846444218563
0.178,2.517797645188485,2.529846444218563
0.17825,2.517797645188485,2.529511906527508
0.1785,2.518131598045705,2.529511906527508
0.17875,2.517797645188485,2.529177368836454
0.179,2.517797645188485,2.529177368836454
0.17925,2.517797645188485,2.529177368836454
0.1795,2.517797645188485,2.529177368836454
0.17975,2.517797645188485,2.528842831145399
0.18,2.517463692331265,2.528508293454345
0.18025,2.517463692331265,2.528508293454345
0.1805,2.517463692331265,2.528508293454345
0.18075,2.517797645188485,2.528508293454345
0.181,2.517797645188485,2.528508293454345
0.18125,2.517797645188485,2.528508293454345
0.1815,2.517797645188485,2.52817375576329
